,Region,House Price to Earnings Ratio,Date
0,North,2.6,01/01/1996
1,Yorks & H,2.8,01/01/1996
2,N West,2.9,01/01/1996
3,E Mids,2.7,01/01/1996
4,W Mids,3.2,01/01/1996
5,E Anglia,2.9,01/01/1996
6,Outer SE,3.2,01/01/1996
7,Outer Met,3.3,01/01/1996
8,London,3.1,01/01/1996
9,S West,3.4,01/01/1996
10,Wales,2.8,01/01/1996
11,Scotland,3.1,01/01/1996
12,N Ireland,2.6,01/01/1996
13,UK,2.8,01/01/1996
14,North,2.7,04/01/1996
15,Yorks & H,2.9,04/01/1996
16,N West,3,04/01/1996
17,E Mids,2.8,04/01/1996
18,W Mids,3.2,04/01/1996
19,E Anglia,3.1,04/01/1996
20,Outer SE,3.3,04/01/1996
21,Outer Met,3.3,04/01/1996
22,London,3.3,04/01/1996
23,S West,3.4,04/01/1996
24,Wales,2.9,04/01/1996
25,Scotland,3.1,04/01/1996
26,N Ireland,2.8,04/01/1996
27,UK,2.9,04/01/1996
28,North,2.6,07/01/1996
29,Yorks & H,2.9,07/01/1996
30,N West,3,07/01/1996
31,E Mids,2.8,07/01/1996
32,W Mids,3.3,07/01/1996
33,E Anglia,3,07/01/1996
34,Outer SE,3.3,07/01/1996
35,Outer Met,3.4,07/01/1996
36,London,3.3,07/01/1996
37,S West,3.4,07/01/1996
38,Wales,2.9,07/01/1996
39,Scotland,3,07/01/1996
40,N Ireland,2.8,07/01/1996
41,UK,2.9,07/01/1996
42,North,2.7,10/01/1996
43,Yorks & H,3,10/01/1996
44,N West,3,10/01/1996
45,E Mids,2.9,10/01/1996
46,W Mids,3.3,10/01/1996
47,E Anglia,3.1,10/01/1996
48,Outer SE,3.3,10/01/1996
49,Outer Met,3.4,10/01/1996
50,London,3.4,10/01/1996
51,S West,3.4,10/01/1996
52,Wales,2.9,10/01/1996
53,Scotland,3,10/01/1996
54,N Ireland,2.9,10/01/1996
55,UK,2.9,10/01/1996
56,North,2.6,01/01/1997
57,Yorks & H,2.9,01/01/1997
58,N West,3,01/01/1997
59,E Mids,2.8,01/01/1997
60,W Mids,3.3,01/01/1997
61,E Anglia,3.2,01/01/1997
62,Outer SE,3.3,01/01/1997
63,Outer Met,3.5,01/01/1997
64,London,3.6,01/01/1997
65,S West,3.4,01/01/1997
66,Wales,2.9,01/01/1997
67,Scotland,3,01/01/1997
68,N Ireland,2.9,01/01/1997
69,UK,2.9,01/01/1997
70,North,2.6,04/01/1997
71,Yorks & H,3,04/01/1997
72,N West,3,04/01/1997
73,E Mids,2.8,04/01/1997
74,W Mids,3.4,04/01/1997
75,E Anglia,3.2,04/01/1997
76,Outer SE,3.5,04/01/1997
77,Outer Met,3.7,04/01/1997
78,London,3.7,04/01/1997
79,S West,3.5,04/01/1997
80,Wales,2.9,04/01/1997
81,Scotland,3.1,04/01/1997
82,N Ireland,3,04/01/1997
83,UK,3,04/01/1997
84,North,2.7,07/01/1997
85,Yorks & H,3,07/01/1997
86,N West,3,07/01/1997
87,E Mids,3,07/01/1997
88,W Mids,3.4,07/01/1997
89,E Anglia,3.3,07/01/1997
90,Outer SE,3.5,07/01/1997
91,Outer Met,3.8,07/01/1997
92,London,3.9,07/01/1997
93,S West,3.5,07/01/1997
94,Wales,2.9,07/01/1997
95,Scotland,3.2,07/01/1997
96,N Ireland,3,07/01/1997
97,UK,3.1,07/01/1997
98,North,2.7,10/01/1997
99,Yorks & H,3,10/01/1997
100,N West,3,10/01/1997
101,E Mids,2.9,10/01/1997
102,W Mids,3.3,10/01/1997
103,E Anglia,3.3,10/01/1997
104,Outer SE,3.5,10/01/1997
105,Outer Met,3.9,10/01/1997
106,London,3.8,10/01/1997
107,S West,3.5,10/01/1997
108,Wales,2.9,10/01/1997
109,Scotland,3.1,10/01/1997
110,N Ireland,3,10/01/1997
111,UK,3.1,10/01/1997
112,North,2.7,01/01/1998
113,Yorks & H,3,01/01/1998
114,N West,3,01/01/1998
115,E Mids,2.9,01/01/1998
116,W Mids,3.3,01/01/1998
117,E Anglia,3.2,01/01/1998
118,Outer SE,3.5,01/01/1998
119,Outer Met,4,01/01/1998
120,London,3.9,01/01/1998
121,S West,3.6,01/01/1998
122,Wales,2.9,01/01/1998
123,Scotland,3.1,01/01/1998
124,N Ireland,3.1,01/01/1998
125,UK,3.1,01/01/1998
126,North,2.8,04/01/1998
127,Yorks & H,3,04/01/1998
128,N West,3,04/01/1998
129,E Mids,3,04/01/1998
130,W Mids,3.3,04/01/1998
131,E Anglia,3.4,04/01/1998
132,Outer SE,3.6,04/01/1998
133,Outer Met,4.1,04/01/1998
134,London,4.1,04/01/1998
135,S West,3.7,04/01/1998
136,Wales,2.9,04/01/1998
137,Scotland,3.2,04/01/1998
138,N Ireland,3.2,04/01/1998
139,UK,3.2,04/01/1998
140,North,2.7,07/01/1998
141,Yorks & H,2.9,07/01/1998
142,N West,3,07/01/1998
143,E Mids,3,07/01/1998
144,W Mids,3.3,07/01/1998
145,E Anglia,3.5,07/01/1998
146,Outer SE,3.6,07/01/1998
147,Outer Met,4.1,07/01/1998
148,London,4.1,07/01/1998
149,S West,3.8,07/01/1998
150,Wales,3,07/01/1998
151,Scotland,3.3,07/01/1998
152,N Ireland,3.1,07/01/1998
153,UK,3.2,07/01/1998
154,North,2.7,10/01/1998
155,Yorks & H,2.8,10/01/1998
156,N West,3,10/01/1998
157,E Mids,2.9,10/01/1998
158,W Mids,3.3,10/01/1998
159,E Anglia,3.3,10/01/1998
160,Outer SE,3.6,10/01/1998
161,Outer Met,4.2,10/01/1998
162,London,4.1,10/01/1998
163,S West,3.7,10/01/1998
164,Wales,2.9,10/01/1998
165,Scotland,3.1,10/01/1998
166,N Ireland,3.2,10/01/1998
167,UK,3.2,10/01/1998
168,North,2.6,01/01/1999
169,Yorks & H,2.9,01/01/1999
170,N West,3,01/01/1999
171,E Mids,3,01/01/1999
172,W Mids,3.3,01/01/1999
173,E Anglia,3.4,01/01/1999
174,Outer SE,3.7,01/01/1999
175,Outer Met,4.1,01/01/1999
176,London,4.3,01/01/1999
177,S West,3.8,01/01/1999
178,Wales,2.9,01/01/1999
179,Scotland,3.1,01/01/1999
180,N Ireland,3.3,01/01/1999
181,UK,3.2,01/01/1999
182,North,2.7,04/01/1999
183,Yorks & H,3,04/01/1999
184,N West,3.1,04/01/1999
185,E Mids,3.1,04/01/1999
186,W Mids,3.4,04/01/1999
187,E Anglia,3.4,04/01/1999
188,Outer SE,3.7,04/01/1999
189,Outer Met,4.3,04/01/1999
190,London,4.4,04/01/1999
191,S West,3.9,04/01/1999
192,Wales,3,04/01/1999
193,Scotland,3.2,04/01/1999
194,N Ireland,3.3,04/01/1999
195,UK,3.3,04/01/1999
196,North,2.7,07/01/1999
197,Yorks & H,3,07/01/1999
198,N West,3.1,07/01/1999
199,E Mids,3.1,07/01/1999
200,W Mids,3.4,07/01/1999
201,E Anglia,3.5,07/01/1999
202,Outer SE,3.9,07/01/1999
203,Outer Met,4.4,07/01/1999
204,London,4.6,07/01/1999
205,S West,4,07/01/1999
206,Wales,3,07/01/1999
207,Scotland,3.2,07/01/1999
208,N Ireland,3.5,07/01/1999
209,UK,3.4,07/01/1999
210,North,2.7,10/01/1999
211,Yorks & H,3,10/01/1999
