Borough code,Borough,Year/Month,Average House Price £
E09000001,City of London,01/01/1995,91449
E09000001,City of London,01/02/1995,82203
E09000001,City of London,01/03/1995,79121
E09000001,City of London,01/04/1995,77101
E09000001,City of London,01/05/1995,84409
E09000001,City of London,01/06/1995,94901
E09000001,City of London,01/07/1995,110128
E09000001,City of London,01/08/1995,112329
E09000001,City of London,01/09/1995,104473
E09000001,City of London,01/10/1995,108038
E09000001,City of London,01/11/1995,117636
E09000001,City of London,01/12/1995,127232
E09000001,City of London,01/01/1996,108999
E09000001,City of London,01/02/1996,93357
E09000001,City of London,01/03/1996,93707
E09000001,City of London,01/04/1996,120543
E09000001,City of London,01/05/1996,112050
E09000001,City of London,01/06/1996,114226
E09000001,City of London,01/07/1996,97547
E09000001,City of London,01/08/1996,114179
E09000001,City of London,01/09/1996,108138
E09000001,City of London,01/10/1996,98934
E09000001,City of London,01/11/1996,99707
E09000001,City of London,01/12/1996,106427
E09000001,City of London,01/01/1997,116343
E09000001,City of London,01/02/1997,111142
E09000001,City of London,01/03/1997,107488
E09000001,City of London,01/04/1997,108480
E09000001,City of London,01/05/1997,115453
E09000001,City of London,01/06/1997,118317
E09000001,City of London,01/07/1997,117034
E09000001,City of London,01/08/1997,113585
E09000001,City of London,01/09/1997,115159
E09000001,City of London,01/10/1997,121251
E09000001,City of London,01/11/1997,131074
E09000001,City of London,01/12/1997,130035
E09000001,City of London,01/01/1998,124382
E09000001,City of London,01/02/1998,143829
E09000001,City of London,01/03/1998,156508
E09000001,City of London,01/04/1998,163403
E09000001,City of London,01/05/1998,143625
E09000001,City of London,01/06/1998,132251
E09000001,City of London,01/07/1998,140377
E09000001,City of London,01/08/1998,148993
E09000001,City of London,01/09/1998,152807
E09000001,City of London,01/10/1998,162020
E09000001,City of London,01/11/1998,152387
E09000001,City of London,01/12/1998,155801
E09000001,City of London,01/01/1999,149143
E09000001,City of London,01/02/1999,164545
E09000001,City of London,01/03/1999,174586
E09000001,City of London,01/04/1999,191157
E09000001,City of London,01/05/1999,191081
E09000001,City of London,01/06/1999,185993
E09000001,City of London,01/07/1999,164056
E09000001,City of London,01/08/1999,160905
E09000001,City of London,01/09/1999,166193
E09000001,City of London,01/10/1999,163490
E09000001,City of London,01/11/1999,175143
E09000001,City of London,01/12/1999,169309
E09000001,City of London,01/01/2000,173738
E09000001,City of London,01/02/2000,174152
E09000001,City of London,01/03/2000,178339
E09000001,City of London,01/04/2000,183101
E09000001,City of London,01/05/2000,175041
E09000001,City of London,01/06/2000,198191
E09000001,City of London,01/07/2000,214852
E09000001,City of London,01/08/2000,221952
E09000001,City of London,01/09/2000,223175
E09000001,City of London,01/10/2000,245062
E09000001,City of London,01/11/2000,321773
E09000001,City of London,01/12/2000,314772
E09000001,City of London,01/01/2001,284262
E09000001,City of London,01/02/2001,198137
E09000001,City of London,01/03/2001,189033
E09000001,City of London,01/04/2001,205494
E09000001,City of London,01/05/2001,223459
E09000001,City of London,01/06/2001,242435
E09000001,City of London,01/07/2001,230700
E09000001,City of London,01/08/2001,231632
E09000001,City of London,01/09/2001,229806
E09000001,City of London,01/10/2001,263887
E09000001,City of London,01/11/2001,346458
E09000001,City of London,01/12/2001,362204
E09000001,City of London,01/01/2002,344239
E09000001,City of London,01/02/2002,284015
E09000001,City of London,01/03/2002,253697
E09000001,City of London,01/04/2002,245313
E09000001,City of London,01/05/2002,227281
E09000001,City of London,01/06/2002,253130
E09000001,City of London,01/07/2002,262428
E09000001,City of London,01/08/2002,274016
E09000001,City of London,01/09/2002,277047
E09000001,City of London,01/10/2002,271941
E09000001,City of London,01/11/2002,280283
E09000001,City of London,01/12/2002,262197
E09000001,City of London,01/01/2003,261645
E09000001,City of London,01/02/2003,263992
E09000001,City of London,01/03/2003,291969
E09000001,City of London,01/04/2003,295174
E09000001,City of London,01/05/2003,284860
E09000001,City of London,01/06/2003,267208
E09000001,City of London,01/07/2003,260204
E09000001,City of London,01/08/2003,245449
E09000001,City of London,01/09/2003,243184
E09000001,City of London,01/10/2003,252980
E09000001,City of London,01/11/2003,277515
E09000001,City of London,01/12/2003,305556
E09000001,City of London,01/01/2004,326913
E09000001,City of London,01/02/2004,301092
E09000001,City of London,01/03/2004,272731
E09000001,City of London,01/04/2004,269514
E09000001,City of London,01/05/2004,280062
E09000001,City of London,01/06/2004,297421
E09000001,City of London,01/07/2004,298293
E09000001,City of London,01/08/2004,307094
E09000001,City of London,01/09/2004,305126
E09000001,City of London,01/10/2004,289912
E09000001,City of London,01/11/2004,333075
E09000001,City of London,01/12/2004,331161
E09000001,City of London,01/01/2005,330363
E09000001,City of London,01/02/2005,288867
E09000001,City of London,01/03/2005,304851
E09000001,City of London,01/04/2005,317398
E09000001,City of London,01/05/2005,311442
E09000001,City of London,01/06/2005,282866
E09000001,City of London,01/07/2005,283641
E09000001,City of London,01/08/2005,305351
E09000001,City of London,01/09/2005,310906
E09000001,City of London,01/10/2005,338837
E09000001,City of London,01/11/2005,327256
E09000001,City of London,01/12/2005,339626
E09000001,City of London,01/01/2006,316121
E09000001,City of London,01/02/2006,323653
E09000001,City of London,01/03/2006,325106
E09000001,City of London,01/04/2006,319580
E09000001,City of London,01/05/2006,313126
E09000001,City of London,01/06/2006,304977
E09000001,City of London,01/07/2006,338307
E09000001,City of London,01/08/2006,358438
E09000001,City of London,01/09/2006,377545
E09000001,City of London,01/10/2006,365177
E09000001,City of London,01/11/2006,354438
E09000001,City of London,01/12/2006,365755
E09000001,City of London,01/01/2007,360923
E09000001,City of London,01/02/2007,399437
E09000001,City of London,01/03/2007,403144
E09000001,City of London,01/04/2007,419005
E09000001,City of London,01/05/2007,411183
E09000001,City of London,01/06/2007,436079
E09000001,City of London,01/07/2007,467348
E09000001,City of London,01/08/2007,473887
E09000001,City of London,01/09/2007,463525
E09000001,City of London,01/10/2007,456422
E09000001,City of London,01/11/2007,450831
E09000001,City of London,01/12/2007,464277
E09000001,City of London,01/01/2008,471861
E09000001,City of London,01/02/2008,453707
E09000001,City of London,01/03/2008,404849
E09000001,City of London,01/04/2008,382571
E09000001,City of London,01/05/2008,389733
E09000001,City of London,01/06/2008,420665
E09000001,City of London,01/07/2008,442352
E09000001,City of London,01/08/2008,472397
E09000001,City of London,01/09/2008,466082
E09000001,City of London,01/10/2008,440012
E09000001,City of London,01/11/2008,396155
E09000001,City of London,01/12/2008,387178
