,Month,Two year fixed rate,Three year fixed rate,Five year fixed,Ten year fixed,Two year variable,Year,Date
0,Sep ,2.46%,2.94%,3.61%,4.06%,2.44%,2014,01/09/2014
1,Dec ,2.08%,2.89%,3.21%,4.00%,1.60%,2014,01/12/2014
2,Mar ,1.99%,2.63%,2.98%,3.47%,1.56%,2015,01/03/2015
3,Jun ,1.83%,2.54%,2.82%,3.24%,1.66%,2015,01/06/2015
4,Sep ,1.91%,2.40%,2.84%,3.35%,1.74%,2015,01/09/2015
5,Dec ,1.90%,2.26%,2.75%,3.36%,1.78%,2015,01/12/2015
6,Mar ,1.90%,2.14%,2.70%,3.19%,1.67%,2016,01/03/2016
7,Jun ,1.75%,2.13%,2.54%,3.10%,1.62%,2016,01/06/2016
8,Sep ,1.59%,1.92%,2.34%,2.84%,1.54%,2016,01/09/2016
9,Dec ,1.45%,1.79%,2.26%,2.98%,1.48%,2016,01/12/2016
10,Mar ,1.37%,1.68%,2.15%,2.80%,1.42%,2017,01/03/2017
11,Jun ,1.48%,1.70%,1.99%,2.82%,1.42%,2017,01/06/2017
12,Sep ,1.40%,1.60%,1.90%,2.72%,1.46%,2017,01/09/2017
13,Dec ,1.57%,1.70%,2.07%,2.66%,1.69%,2017,01/12/2017
14,Mar ,1.53%,1.77%,2.02%,2.76%,1.58%,2018,01/03/2018
15,Jun ,1.74%,1.80%,2.03%,2.74%,1.56%,2018,01/06/2018
16,Sep ,1.71%,1.81%,2.01%,2.68%,1.68%,2018,01/09/2018
17,Dec ,1.73%,1.81%,2.01%,2.64%,1.70%,2018,01/12/2018
18,Mar ,1.70%,1.80%,2.03%,2.56%,1.61%,2019,01/03/2019
19,Jun ,1.64%,1.77%,1.97%,2.59%,1.60%,2019,01/06/2019
20,Sep ,1.55%,1.66%,1.79%,2.58%,2.03%,2019,01/09/2019
21,Dec ,1.42%,1.54%,1.67%,2.47%,1.94%,2019,01/12/2019
22,Mar ,1.40%,1.56%,1.66%,2.36%,2.37%,2020,01/03/2020
23,Jun ,1.41%,1.62%,1.69%,2.40%,1.66%,2020,01/06/2020
24,Sep ,1.75%,1.88%,1.92%,2.39%,1.63%,2020,01/09/2020
25,Dec ,1.86%,2.04%,2.00%,2.53%,2.19%,2020,01/12/2020
26,Mar ,1.56%,1.71%,1.74%,2.55%,1.91%,2021,01/03/2021
27,Jun ,1.39%,1.66%,1.60%,2.59%,2.24%,2021,01/06/2021
28,Sep ,1.20%,1.18%,1.29%,2.60%,2.10%,2021,01/09/2021
29,Dec ,1.57%,1.39%,1.59%,2.44%,1.65%,2021,01/12/2021
30,Mar ,2.14%,2.03%,2.11%,2.50%,2.01%,2022,01/03/2022
31,Jun ,2.87%,2.98%,2.90%,3.17%,2.45%,2022,01/06/2022
32,Aug ,3.64%,3.74%,3.61%,3.73%,2.65%,2022,01/08/2022
