,Region,DATE,Rental Price Index
0,United Kingdom,01/01/2015,100
1,United Kingdom,01/02/2015,100.2
2,United Kingdom,01/03/2015,100.3
3,United Kingdom,01/04/2015,100.6
4,United Kingdom,01/05/2015,100.9
5,United Kingdom,01/06/2015,101
6,United Kingdom,01/07/2015,101.2
7,United Kingdom,01/08/2015,101.5
8,United Kingdom,01/09/2015,101.7
9,United Kingdom,01/10/2015,101.8
10,United Kingdom,01/11/2015,102.1
11,United Kingdom,01/12/2015,102.2
12,United Kingdom,01/01/2016,102.6
13,United Kingdom,01/02/2016,102.7
14,United Kingdom,01/03/2016,102.9
15,United Kingdom,01/04/2016,103.2
16,United Kingdom,01/05/2016,103.4
17,United Kingdom,01/06/2016,103.4
18,United Kingdom,01/07/2016,103.6
19,United Kingdom,01/08/2016,103.8
20,United Kingdom,01/09/2016,104
21,United Kingdom,01/10/2016,104.2
22,United Kingdom,01/11/2016,104.4
23,United Kingdom,01/12/2016,104.6
24,United Kingdom,01/01/2017,104.8
25,United Kingdom,01/02/2017,104.9
26,United Kingdom,01/03/2017,104.9
27,United Kingdom,01/04/2017,105.1
28,United Kingdom,01/05/2017,105.2
29,United Kingdom,01/06/2017,105.3
30,United Kingdom,01/07/2017,105.4
31,United Kingdom,01/08/2017,105.5
32,United Kingdom,01/09/2017,105.6
33,United Kingdom,01/10/2017,105.7
34,United Kingdom,01/11/2017,105.8
35,United Kingdom,01/12/2017,105.9
36,United Kingdom,01/01/2018,106
37,United Kingdom,01/02/2018,106
38,United Kingdom,01/03/2018,106.1
39,United Kingdom,01/04/2018,106.1
40,United Kingdom,01/05/2018,106.2
41,United Kingdom,01/06/2018,106.3
42,United Kingdom,01/07/2018,106.4
43,United Kingdom,01/08/2018,106.5
44,United Kingdom,01/09/2018,106.6
45,United Kingdom,01/10/2018,106.7
46,United Kingdom,01/11/2018,106.8
47,United Kingdom,01/12/2018,107
48,United Kingdom,01/01/2019,107.1
49,United Kingdom,01/02/2019,107.2
50,United Kingdom,01/03/2019,107.3
51,United Kingdom,01/04/2019,107.4
52,United Kingdom,01/05/2019,107.6
53,United Kingdom,01/06/2019,107.7
54,United Kingdom,01/07/2019,107.8
55,United Kingdom,01/08/2019,107.9
56,United Kingdom,01/09/2019,108
57,United Kingdom,01/10/2019,108.1
58,United Kingdom,01/11/2019,108.3
59,United Kingdom,01/12/2019,108.5
60,United Kingdom,01/01/2020,108.6
61,United Kingdom,01/02/2020,108.7
62,United Kingdom,01/03/2020,108.8
63,United Kingdom,01/04/2020,109
64,United Kingdom,01/05/2020,109.2
65,United Kingdom,01/06/2020,109.3
66,United Kingdom,01/07/2020,109.3
67,United Kingdom,01/08/2020,109.5
68,United Kingdom,01/09/2020,109.6
69,United Kingdom,01/10/2020,109.7
70,United Kingdom,01/11/2020,109.8
71,United Kingdom,01/12/2020,110
72,United Kingdom,01/01/2021,110
73,United Kingdom,01/02/2021,110.1
74,United Kingdom,01/03/2021,110.2
75,United Kingdom,01/04/2021,110.3
76,United Kingdom,01/05/2021,110.4
77,United Kingdom,01/06/2021,110.6
78,United Kingdom,01/07/2021,110.7
79,United Kingdom,01/08/2021,110.9
80,United Kingdom,01/09/2021,111.1
81,United Kingdom,01/10/2021,111.4
82,United Kingdom,01/11/2021,111.7
83,United Kingdom,01/12/2021,112
84,United Kingdom,01/01/2022,112.3
85,United Kingdom,01/02/2022,112.5
86,United Kingdom,01/03/2022,112.8
87,United Kingdom,01/04/2022,113.2
88,United Kingdom,01/05/2022,113.6
89,United Kingdom,01/06/2022,113.9
90,United Kingdom,01/07/2022,114.3
91,United Kingdom,01/08/2022,114.7
92,United Kingdom,01/09/2022,115.2
93,United Kingdom,01/10/2022,115.6
94,United Kingdom,01/11/2022,116.1
95,Great Britain,01/01/2015,100
96,Great Britain,01/02/2015,100.2
97,Great Britain,01/03/2015,100.3
98,Great Britain,01/04/2015,100.6
99,Great Britain,01/05/2015,100.9
100,Great Britain,01/06/2015,101.1
101,Great Britain,01/07/2015,101.2
102,Great Britain,01/08/2015,101.6
103,Great Britain,01/09/2015,101.7
104,Great Britain,01/10/2015,101.9
105,Great Britain,01/11/2015,102.1
106,Great Britain,01/12/2015,102.2
107,Great Britain,01/01/2016,102.6
108,Great Britain,01/02/2016,102.8
109,Great Britain,01/03/2016,102.9
