,v1,date,cpih_all_items_index,cpih_all_items_index_pred,cpih_all_items_index_error
0,180,1988-01-01,46.900002,50.890953,-3.9909515
1,181,1988-02-01,47,51.04147,-4.0414696
2,182,1988-03-01,47.200001,51.191982,-3.9919815
3,183,1988-04-01,47.799999,51.342499,-3.5424995
4,184,1988-05-01,48,51.493011,-3.4930115
5,185,1988-06-01,48.200001,51.643528,-3.4435272
6,186,1988-07-01,48.200001,51.794041,-3.5940399
7,187,1988-08-01,48.5,51.944553,-3.4445534
8,188,1988-09-01,48.700001,52.09507,-3.3950691
9,189,1988-10-01,49,52.245583,-3.2455826
10,190,1988-11-01,49.299999,52.396099,-3.0960999
11,191,1988-12-01,49.299999,52.546612,-3.2466125
12,192,1989-01-01,49.5,52.697128,-3.1971283
13,193,1989-02-01,49.700001,52.847641,-3.1476402
14,194,1989-03-01,50,52.998154,-2.9981537
15,195,1989-04-01,50.5,53.14867,-2.6486702
16,196,1989-05-01,50.900002,53.299183,-2.3991814
17,197,1989-06-01,51,53.449699,-2.4496994
18,198,1989-07-01,51,53.600212,-2.6002121
19,199,1989-08-01,51.099998,53.750729,-2.6507301
20,200,1989-09-01,51.5,53.901241,-2.4012413
21,201,1989-10-01,51.900002,54.051754,-2.1517525
22,202,1989-11-01,52.099998,54.202271,-2.102272
23,203,1989-12-01,52.200001,54.352783,-2.1527824
24,204,1990-01-01,52.400002,54.5033,-2.1032982
25,205,1990-02-01,52.900002,54.653812,-1.7538109
26,206,1990-03-01,53.099998,54.804329,-1.7043304
27,207,1990-04-01,54.400002,54.954842,-0.55484009
28,208,1990-05-01,55,55.105354,-0.10535431
29,209,1990-06-01,55.200001,55.255871,-0.055870056
30,210,1990-07-01,55.200001,55.406384,-0.20638275
31,211,1990-08-01,55.700001,55.5569,0.14310074
32,212,1990-09-01,56.200001,55.707413,0.49258804
33,213,1990-10-01,56.700001,55.857929,0.84207153
34,214,1990-11-01,56.900002,56.008442,0.8915596
35,215,1990-12-01,57,56.158955,0.84104538
36,216,1991-01-01,57,56.309471,0.69052887
37,217,1991-02-01,57.200001,56.459984,0.74001694
38,218,1991-03-01,57.5,56.6105,0.88949966
39,219,1991-04-01,58.700001,56.761013,1.9389877
40,220,1991-05-01,59.200001,56.91153,2.2884712
41,221,1991-06-01,59.5,57.062042,2.4379578
42,222,1991-07-01,59.299999,57.212555,2.0874443
43,223,1991-08-01,59.900002,57.363071,2.5369301
44,224,1991-09-01,60.099998,57.513584,2.5864143
45,225,1991-10-01,60.400002,57.664101,2.7359009
46,226,1991-11-01,60.5,57.814613,2.6853867
47,227,1991-12-01,60.700001,57.96513,2.7348709
48,228,1992-01-01,60.5,58.115643,2.3843575
49,229,1992-02-01,60.799999,58.266155,2.533844
50,230,1992-03-01,61.099998,58.416672,2.6833267
51,231,1992-04-01,61.799999,58.567184,3.2328148
52,232,1992-05-01,62.200001,58.717701,3.4822998
53,233,1992-06-01,62.200001,58.868214,3.3317871
54,234,1992-07-01,62,59.01873,2.9812698
55,235,1992-08-01,62.099998,59.169243,2.9307556
56,236,1992-09-01,62.299999,59.319756,2.9802437
57,237,1992-10-01,62.5,59.470272,3.0297279
58,238,1992-11-01,62.5,59.620785,2.8792152
59,239,1992-12-01,62.599998,59.771301,2.8286972
60,240,1993-01-01,62.400002,59.921814,2.4781876
61,241,1993-02-01,62.700001,60.07233,2.6276703
62,242,1993-03-01,63,60.222843,2.7771568
63,243,1993-04-01,63.400002,60.373356,3.0266457
64,244,1993-05-01,63.599998,60.523872,3.0761261
65,245,1993-06-01,63.599998,60.674385,2.9256134
66,246,1993-07-01,63.400002,60.824902,2.5750999
67,247,1993-08-01,63.700001,60.975414,2.7245865
68,248,1993-09-01,64,61.125931,2.8740692
69,249,1993-10-01,64,61.276443,2.7235565
70,250,1993-11-01,63.799999,61.426956,2.3730431
71,251,1993-12-01,64,61.577473,2.4225273
72,252,1994-01-01,64,61.727985,2.2720146
73,253,1994-02-01,64.199997,61.878502,2.3214951
74,254,1994-03-01,64.400002,62.029015,2.3709869
75,255,1994-04-01,64.900002,62.179527,2.7204742
76,256,1994-05-01,65.099998,62.330044,2.7699547
77,257,1994-06-01,65.099998,62.480556,2.619442
78,258,1994-07-01,64.699997,62.631073,2.068924
79,259,1994-08-01,65.099998,62.781586,2.3184128
80,260,1994-09-01,65.199997,62.932102,2.2678947
81,261,1994-10-01,65.099998,63.082615,2.0173836
82,262,1994-11-01,65.199997,63.233128,1.9668694
83,263,1994-12-01,65.5,63.383644,2.1163559
84,264,1995-01-01,65.5,63.534157,1.9658432
85,265,1995-02-01,65.699997,63.684673,2.0153236
86,266,1995-03-01,66,63.835186,2.164814
87,267,1995-04-01,66.400002,63.985703,2.414299
88,268,1995-05-01,66.699997,64.136215,2.5637817
89,269,1995-06-01,66.800003,64.286728,2.5132751
90,270,1995-07-01,66.599998,64.437241,2.1627579
91,271,1995-08-01,66.900002,64.587761,2.3122406
92,272,1995-09-01,67.199997,64.738274,2.4617233
93,273,1995-10-01,67.099998,64.888786,2.2112122
94,274,1995-11-01,67.099998,65.039299,2.0606995
95,275,1995-12-01,67.5,65.189819,2.3101807
96,276,1996-01-01,67.400002,65.340332,2.0596695
97,277,1996-02-01,67.699997,65.490845,2.2091522
98,278,1996-03-01,67.900002,65.641357,2.2586441
99,279,1996-04-01,68.300003,65.79187,2.5081329
100,280,1996-05-01,68.599998,65.94239,2.657608
101,281,1996-06-01,68.699997,66.092903,2.6070938
102,282,1996-07-01,68.300003,66.243416,2.0565872
103,283,1996-08-01,68.699997,66.393929,2.3060684
104,284,1996-09-01,69,66.544441,2.4555588
105,285,1996-10-01,69.099998,66.694962,2.4050369
106,286,1996-11-01,69.199997,66.845474,2.3545227
107,287,1996-12-01,69.400002,66.995987,2.4040146
108,288,1997-01-01,69.199997,67.1465,2.0534973
109,289,1997-02-01,69.300003,67.29702,2.0029831
