v1,date,cpih_all_items_index,cpih_all_items_index_pred,cpih_all_items_index_error
180,1988 JAN,46.900002,50.890953,-3.9909515
181,1988 FEB,47,51.04147,-4.0414696
182,1988 MAR,47.200001,51.191982,-3.9919815
183,1988 APR,47.799999,51.342499,-3.5424995
184,1988 MAY,48,51.493011,-3.4930115
185,1988 JUN,48.200001,51.643528,-3.4435272
186,1988 JUL,48.200001,51.794041,-3.5940399
187,1988 AUG,48.5,51.944553,-3.4445534
188,1988 SEP,48.700001,52.09507,-3.3950691
189,1988 OCT,49,52.245583,-3.2455826
190,1988 NOV,49.299999,52.396099,-3.0960999
191,1988 DEC,49.299999,52.546612,-3.2466125
192,1989 JAN,49.5,52.697128,-3.1971283
193,1989 FEB,49.700001,52.847641,-3.1476402
194,1989 MAR,50,52.998154,-2.9981537
195,1989 APR,50.5,53.14867,-2.6486702
196,1989 MAY,50.900002,53.299183,-2.3991814
197,1989 JUN,51,53.449699,-2.4496994
198,1989 JUL,51,53.600212,-2.6002121
199,1989 AUG,51.099998,53.750729,-2.6507301
200,1989 SEP,51.5,53.901241,-2.4012413
201,1989 OCT,51.900002,54.051754,-2.1517525
202,1989 NOV,52.099998,54.202271,-2.102272
203,1989 DEC,52.200001,54.352783,-2.1527824
204,1990 JAN,52.400002,54.5033,-2.1032982
205,1990 FEB,52.900002,54.653812,-1.7538109
206,1990 MAR,53.099998,54.804329,-1.7043304
207,1990 APR,54.400002,54.954842,-.55484009
208,1990 MAY,55,55.105354,-.10535431
209,1990 JUN,55.200001,55.255871,-.055870056
210,1990 JUL,55.200001,55.406384,-.20638275
211,1990 AUG,55.700001,55.5569,.14310074
212,1990 SEP,56.200001,55.707413,.49258804
213,1990 OCT,56.700001,55.857929,.84207153
214,1990 NOV,56.900002,56.008442,.8915596
215,1990 DEC,57,56.158955,.84104538
216,1991 JAN,57,56.309471,.69052887
217,1991 FEB,57.200001,56.459984,.74001694
218,1991 MAR,57.5,56.6105,.88949966
219,1991 APR,58.700001,56.761013,1.9389877
220,1991 MAY,59.200001,56.91153,2.2884712
221,1991 JUN,59.5,57.062042,2.4379578
222,1991 JUL,59.299999,57.212555,2.0874443
223,1991 AUG,59.900002,57.363071,2.5369301
224,1991 SEP,60.099998,57.513584,2.5864143
225,1991 OCT,60.400002,57.664101,2.7359009
226,1991 NOV,60.5,57.814613,2.6853867
227,1991 DEC,60.700001,57.96513,2.7348709
228,1992 JAN,60.5,58.115643,2.3843575
229,1992 FEB,60.799999,58.266155,2.533844
230,1992 MAR,61.099998,58.416672,2.6833267
231,1992 APR,61.799999,58.567184,3.2328148
232,1992 MAY,62.200001,58.717701,3.4822998
233,1992 JUN,62.200001,58.868214,3.3317871
234,1992 JUL,62,59.01873,2.9812698
235,1992 AUG,62.099998,59.169243,2.9307556
236,1992 SEP,62.299999,59.319756,2.9802437
237,1992 OCT,62.5,59.470272,3.0297279
238,1992 NOV,62.5,59.620785,2.8792152
239,1992 DEC,62.599998,59.771301,2.8286972
240,1993 JAN,62.400002,59.921814,2.4781876
241,1993 FEB,62.700001,60.07233,2.6276703
242,1993 MAR,63,60.222843,2.7771568
243,1993 APR,63.400002,60.373356,3.0266457
244,1993 MAY,63.599998,60.523872,3.0761261
245,1993 JUN,63.599998,60.674385,2.9256134
246,1993 JUL,63.400002,60.824902,2.5750999
247,1993 AUG,63.700001,60.975414,2.7245865
248,1993 SEP,64,61.125931,2.8740692
249,1993 OCT,64,61.276443,2.7235565
250,1993 NOV,63.799999,61.426956,2.3730431
251,1993 DEC,64,61.577473,2.4225273
252,1994 JAN,64,61.727985,2.2720146
253,1994 FEB,64.199997,61.878502,2.3214951
254,1994 MAR,64.400002,62.029015,2.3709869
255,1994 APR,64.900002,62.179527,2.7204742
256,1994 MAY,65.099998,62.330044,2.7699547
257,1994 JUN,65.099998,62.480556,2.619442
258,1994 JUL,64.699997,62.631073,2.068924
259,1994 AUG,65.099998,62.781586,2.3184128
260,1994 SEP,65.199997,62.932102,2.2678947
261,1994 OCT,65.099998,63.082615,2.0173836
262,1994 NOV,65.199997,63.233128,1.9668694
263,1994 DEC,65.5,63.383644,2.1163559
264,1995 JAN,65.5,63.534157,1.9658432
265,1995 FEB,65.699997,63.684673,2.0153236
266,1995 MAR,66,63.835186,2.164814
267,1995 APR,66.400002,63.985703,2.414299
268,1995 MAY,66.699997,64.136215,2.5637817
269,1995 JUN,66.800003,64.286728,2.5132751
270,1995 JUL,66.599998,64.437241,2.1627579
271,1995 AUG,66.900002,64.587761,2.3122406
272,1995 SEP,67.199997,64.738274,2.4617233
273,1995 OCT,67.099998,64.888786,2.2112122
274,1995 NOV,67.099998,65.039299,2.0606995
275,1995 DEC,67.5,65.189819,2.3101807
276,1996 JAN,67.400002,65.340332,2.0596695
277,1996 FEB,67.699997,65.490845,2.2091522
278,1996 MAR,67.900002,65.641357,2.2586441
279,1996 APR,68.300003,65.79187,2.5081329
280,1996 MAY,68.599998,65.94239,2.657608
281,1996 JUN,68.699997,66.092903,2.6070938
282,1996 JUL,68.300003,66.243416,2.0565872
283,1996 AUG,68.699997,66.393929,2.3060684
284,1996 SEP,69,66.544441,2.4555588
285,1996 OCT,69.099998,66.694962,2.4050369
286,1996 NOV,69.199997,66.845474,2.3545227
287,1996 DEC,69.400002,66.995987,2.4040146
288,1997 JAN,69.199997,67.1465,2.0534973
289,1997 FEB,69.300003,67.29702,2.0029831
290,1997 MAR,69.400002,67.447533,1.9524689
291,1997 APR,69.699997,67.598045,2.1019516
292,1997 MAY,70,67.748558,2.251442
293,1997 JUN,70.099998,67.899071,2.2009277
294,1997 JUL,70,68.049591,1.9504089
295,1997 AUG,70.300003,68.200104,2.0998993
296,1997 SEP,70.5,68.350616,2.1493835
297,1997 OCT,70.599998,68.501129,2.0988693
298,1997 NOV,70.599998,68.651642,1.9483566
299,1997 DEC,70.699997,68.802162,1.8978348
300,1998 JAN,70.400002,68.952675,1.4473267
301,1998 FEB,70.599998,69.103188,1.4968109
302,1998 MAR,70.800003,69.2537,1.5463028
303,1998 APR,71.199997,69.404221,1.7957764
304,1998 MAY,71.5,69.554733,1.9452667
305,1998 JUN,71.400002,69.705246,1.6947556
306,1998 JUL,71.199997,69.855759,1.3442383
307,1998 AUG,71.400002,70.006271,1.3937302
308,1998 SEP,71.699997,70.156792,1.5432053
309,1998 OCT,71.699997,70.307304,1.3926926
310,1998 NOV,71.800003,70.457817,1.342186
311,1998 DEC,72,70.60833,1.3916702
312,1999 JAN,71.800003,70.758842,1.0411606
313,1999 FEB,71.900002,70.909363,.99063873
314,1999 MAR,72.300003,71.059875,1.2401276
315,1999 APR,72.599998,71.210388,1.3896103
316,1999 MAY,72.800003,71.360901,1.4391022
317,1999 JUN,72.699997,71.511414,1.1885834
318,1999 JUL,72.400002,71.661934,.73806763
319,1999 AUG,72.599998,71.812447,.78755188
320,1999 SEP,72.800003,71.962959,.83704376
321,1999 OCT,72.800003,72.113472,.68653107
322,1999 NOV,72.900002,72.263992,.63600922
323,1999 DEC,73.099998,72.414505,.68549347
324,2000 JAN,72.599998,72.565018,.034980774
325,2000 FEB,72.800003,72.71553,.084472656
326,2000 MAR,73,72.866043,.13395691
327,2000 APR,73.300003,73.016563,.28343964
328,2000 MAY,73.5,73.167076,.33292389
329,2000 JUN,73.599998,73.317589,.28240967
330,2000 JUL,73.300003,73.468102,-.16809845
331,2000 AUG,73.300003,73.618614,-.31861115
332,2000 SEP,73.800003,73.769135,.03086853
333,2000 OCT,73.800003,73.919647,-.11964417
334,2000 NOV,74,74.07016,-.070159912
335,2000 DEC,74,74.220673,-.22067261
336,2001 JAN,73.5,74.371193,-.87119293
337,2001 FEB,73.699997,74.521706,-.82170868
338,2001 MAR,73.900002,74.672218,-.7722168
339,2001 APR,74.400002,74.822731,-.42272949
340,2001 MAY,74.900002,74.973244,-.073242188
341,2001 JUN,75,75.123764,-.12376404
342,2001 JUL,74.5,75.274277,-.77427673
343,2001 AUG,74.800003,75.424789,-.62478638
344,2001 SEP,75,75.575302,-.57530212
345,2001 OCT,74.900002,75.725815,-.82581329
346,2001 NOV,74.900002,75.876335,-.97633362
347,2001 DEC,75,76.026848,-1.0268478
348,2002 JAN,74.800003,76.177361,-1.3773575
349,2002 FEB,75,76.327873,-1.3278732
350,2002 MAR,75.199997,76.478394,-1.2783966
351,2002 APR,75.599998,76.628906,-1.0289078
352,2002 MAY,75.800003,76.779419,-.97941589
353,2002 JUN,75.800003,76.929932,-1.1299286
354,2002 JUL,75.599998,77.080444,-1.4804459
355,2002 AUG,75.800003,77.230965,-1.4309616
