,Unnamed: 0_x,sourceDataset,value,year,Unnamed: 0_y,Region,Average Home Price
0,15,pop,56683800,1986,0,United Kingdom,36000
1,16,pop,56804000,1987,1,United Kingdom,40000
2,17,pop,56916400,1988,2,United Kingdom,49000
3,18,pop,57076500,1989,3,United Kingdom,55000
4,19,pop,57237500,1990,4,United Kingdom,60000
5,20,pop,57438700,1991,5,United Kingdom,62000
6,21,pop,57584500,1992,6,United Kingdom,61000
7,22,pop,57713900,1993,7,United Kingdom,62000
8,23,pop,57862100,1994,8,United Kingdom,65000
9,24,pop,58024800,1995,9,United Kingdom,66000
10,25,pop,58164400,1996,10,United Kingdom,71000
11,26,pop,58314200,1997,11,United Kingdom,76000
12,27,pop,58474900,1998,12,United Kingdom,82000
13,28,pop,58684400,1999,13,United Kingdom,93000
14,29,pop,58886100,2000,14,United Kingdom,102000
15,30,pop,59113000,2001,15,United Kingdom,113000
16,31,pop,59365700,2002,16,United Kingdom,128000
17,32,pop,59636700,2003,17,United Kingdom,156000
18,33,pop,59950400,2004,18,United Kingdom,180000
19,34,pop,60413300,2005,19,United Kingdom,191000
20,35,pop,60827100,2006,20,United Kingdom,205000
21,36,pop,61319100,2007,21,United Kingdom,223000
22,37,pop,61823800,2008,22,United Kingdom,228000
23,38,pop,62260500,2009,23,United Kingdom,226000
24,39,pop,62759500,2010,24,United Kingdom,251000
25,40,pop,63285100,2011,25,United Kingdom,245000
26,41,pop,63705000,2012,26,United Kingdom,246000
27,42,pop,64105700,2013,27,United Kingdom,251000
28,43,pop,64596800,2014,28,United Kingdom,267000
29,44,pop,65110000,2015,29,United Kingdom,277000
30,45,pop,65648100,2016,30,United Kingdom,283000
31,46,pop,66040200,2017,31,United Kingdom,280000
32,47,pop,66435600,2018,32,United Kingdom,283000
33,48,pop,66796800,2019,33,United Kingdom,282000
34,49,pop,67081000,2020,34,United Kingdom,303000
35,50,pop,67026300,2021,35,United Kingdom,324000
