DATE,United Kingdom,Great Britain,England,Wales,Scotland,Northern Ireland1,North East,North West,Yorkshire and The Humber,East Midlands,West Midlands,East ,London,South East,South West,UK excluding London,GB excluding London,England excluding London
01/01/2015,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
01/02/2015,100.2,100.2,100.2,100.1,100.1,100,100,100,100,100.1,100.1,100.1,100.3,100.2,100.1,100.1,100.1,100.1
01/03/2015,100.3,100.3,100.4,100.1,100.1,100,100.1,100,100,100.1,100.2,100.3,100.6,100.3,100.2,100.2,100.2,100.2
01/04/2015,100.6,100.6,100.6,100.1,100.2,100,100.2,100.1,100.1,100.5,100.4,100.6,100.9,100.6,100.4,100.4,100.4,100.4
01/05/2015,100.9,100.9,100.9,100.2,100.3,100,100.3,100.1,100.2,100.7,100.6,100.8,101.5,100.7,100.5,100.5,100.5,100.5
01/06/2015,101,101.1,101.1,100.2,100.5,100.1,100.3,100.1,100.2,100.8,100.8,101.2,101.8,100.9,100.6,100.6,100.7,100.7
01/07/2015,101.2,101.2,101.2,100.2,100.5,100.1,100.3,100.2,100.4,101,101,101.3,102,101,100.6,100.7,100.7,100.8
01/08/2015,101.5,101.6,101.6,100.1,100.7,100.2,100.4,100.4,100.6,101.1,101.1,101.4,102.7,101.3,100.9,100.9,101,101
01/09/2015,101.7,101.7,101.8,100.1,100.8,100.5,100.4,100.4,100.6,101.4,101.2,101.6,102.8,101.6,101,101.1,101.1,101.2
01/10/2015,101.8,101.9,102,100.1,100.8,100.6,100.4,100.6,100.7,101.6,101.3,101.9,103,101.8,101.1,101.2,101.2,101.3
01/11/2015,102.1,102.1,102.2,100.3,100.6,100.9,100.6,100.8,100.8,101.9,101.4,102.3,103.3,102.1,101.3,101.4,101.4,101.6
01/12/2015,102.2,102.2,102.3,100.2,100.6,101.2,100.6,100.9,100.8,102,101.6,102.5,103.4,102.5,101.1,101.6,101.6,101.7
01/01/2016,102.6,102.6,102.7,100.3,100.8,101.5,100.9,101,101.2,102.3,101.8,102.9,103.9,102.9,101.3,101.8,101.8,102
01/02/2016,102.7,102.8,102.9,100.2,100.8,101.7,100.9,101,101.3,102.5,101.9,103.2,104.1,103.1,101.5,102,102,102.2
01/03/2016,102.9,102.9,103.1,100.3,100.7,101.8,100.9,101.1,101.3,102.8,102.1,103.3,104.4,103.3,101.8,102.1,102.1,102.4
01/04/2016,103.2,103.2,103.4,100.3,100.8,101.9,101,101.2,101.4,103.2,102.2,103.6,104.7,103.7,101.9,102.3,102.4,102.6
01/05/2016,103.4,103.4,103.6,100.2,100.7,102.4,101.1,101.3,101.4,103.1,102.3,104.1,104.8,104.1,102.1,102.6,102.6,102.8
01/06/2016,103.4,103.4,103.7,100.2,100.5,102.5,101.1,101.3,101.5,103.3,102.4,104.2,104.9,104.3,102.3,102.7,102.7,102.9
01/07/2016,103.6,103.6,103.8,100.2,100.7,102.6,101.2,101.4,101.7,103.4,102.5,104.4,105,104.5,102.4,102.8,102.8,103.1
01/08/2016,103.8,103.9,104.1,100.2,100.7,102.8,101.3,101.5,102,103.6,102.9,104.7,105.3,104.7,102.9,103,103.1,103.4
01/09/2016,104,104,104.3,100.2,100.7,102.7,101.4,101.7,102.1,103.7,103.1,104.7,105.5,105.1,103.2,103.2,103.2,103.6
01/10/2016,104.2,104.2,104.5,100.4,100.6,102.8,101.6,101.9,102.2,104,103.5,105.2,105.7,105.2,103.5,103.4,103.4,103.8
01/11/2016,104.4,104.4,104.7,100.6,100.7,102.9,101.7,102,102.3,104.5,103.6,105.4,105.7,105.6,103.8,103.7,103.7,104.1
01/12/2016,104.6,104.6,104.9,100.6,100.7,102.9,101.7,102.1,102.5,104.8,103.8,105.5,105.8,106,104,103.9,103.9,104.3
01/01/2017,104.8,104.8,105.1,100.7,100.8,102.7,101.7,102.2,102.7,105.2,104,106,106.1,106.3,104.2,104.1,104.1,104.6
01/02/2017,104.9,104.9,105.2,100.8,100.7,102.7,101.8,102.3,102.8,105.3,104.2,106,106.1,106.5,104.3,104.2,104.2,104.7
01/03/2017,104.9,105,105.3,100.9,100.6,103,101.7,102.4,102.9,105.4,104.2,106.3,106,106.7,104.4,104.3,104.4,104.8
01/04/2017,105.1,105.1,105.4,101,100.7,103.2,101.7,102.5,103.1,105.6,104.5,106.4,106.1,106.9,104.5,104.5,104.5,105
01/05/2017,105.2,105.2,105.5,101.1,100.7,103.6,101.6,102.7,103.2,105.7,104.5,106.5,106.3,107.1,104.7,104.6,104.6,105.1
01/06/2017,105.3,105.3,105.6,101.3,100.7,103.9,101.7,102.8,103.2,106,104.7,106.7,106.3,107.2,104.7,104.7,104.7,105.2
