"Table 23 Housing market: simple average house prices by new/other dwellings, type of buyer and  region, United Kingdom, from 1986 1, 2, 3",,,,,,,,,,
Previously DCLG table 503,,,,,,,,,,
,,New dwellings,,Other dwellings,,All dwellings,,First time buyers,,Former owner occupiers
,,Price,,Price,,Price,,Price,,Price
,,£,,£,,£,,£,,£
UNITED KINGDOM,,,,,,,,,,
K02000001,,,,,,,,,,
1986,,"44,000",,"35,000",,"36,000",,"27,000",,"45,000"
1987,,"50,000",,"39,000",,"40,000",,"30,000",,"50,000"
1988,,"62,000",,"48,000",,"49,000",,"36,000",,"62,000"
1989,,"74,000",,"53,000",,"55,000",,"40,000",,"71,000"
1990,,"75,000",,"58,000",,"60,000",,"45,000",,"76,000"
1991,,"74,000",,"61,000",,"62,000",,"47,000",,"76,000"
1992,,"73,000",,"60,000",,"61,000",,"47,000",,"77,000"
1993,,"73,000",,"60,000",,"62,000",,"48,000",,"80,000"
1994,,"75,000",,"63,000",,"65,000",,"48,000",,"85,000"
1995,,"79,000",,"63,000",,"66,000",,"46,000",,"87,000"
1996,,"85,000",,"68,000",,"71,000",,"49,000",,"91,000"
1997,,"93,000",,"74,000",,"76,000",,"53,000",,"96,000"
1998,,"97,000",,"80,000",,"82,000",,"61,000",,"101,000"
1999,,"112,000",,"90,000",,"93,000",,"72,000",,"111,000"
2000,,"122,000",,"99,000",,"102,000",,"76,000",,"122,000"
2001,,"132,000",,"110,000",,"113,000",,"85,000",,"132,000"
2002,,"158,000",,"125,000",,"128,000",,"104,000",,"139,000"
2003,,"186,000",,"154,000",,"156,000",,"109,000",,"165,000"
2004,,"208,000",,"177,000",,"180,000",,"132,000",,"191,000"
2005,,"212,000",,"188,000",,"191,000",,"141,000",,"209,000"
2006,,"222,000",,"204,000",,"205,000",,"146,000",,"239,000"
2007,,"224,000",,"223,000",,"223,000",,"159,000",,"258,000"
2008,,"221,000",,"228,000",,"228,000",,"163,000",,"263,000"
2009,,"199,000",,"228,000",,"226,000",,"166,000",,"260,000"
2010,,"214,000",,"254,000",,"251,000",,"184,000",,"284,000"
2011,,"223,000",,"248,000",,"245,000",,"180,000",,"280,000"
2012,,"231,000",,"247,000",,"246,000",,"182,000",,"283,000"
2013,,"240,000",,"251,000",,"251,000",,"190,000",,"292,000"
2014,,"273,000",,"267,000",,"267,000",,"202,000",,"312,000"
2015,,"276,000",,"277,000",,"277,000",,"204,000",,"331,000"
2016,,"290,000",,"282,000",,"283,000",,"211,000",,"345,000"
