Metric,Date,value
75,01/06/2018,1.74
75,01/07/2018,1.75
75,01/08/2018,1.75
75,01/09/2018,1.71
75,01/10/2018,1.8
75,01/11/2018,1.75
75,01/12/2018,1.73
75,01/01/2019,1.72
75,01/02/2019,1.7
75,01/03/2019,1.7
75,01/04/2019,1.66
75,01/05/2019,1.65
75,01/06/2019,1.64
75,01/07/2019,1.61
75,01/08/2019,1.59
75,01/09/2019,1.55
75,01/10/2019,1.47
75,01/11/2019,1.41
75,01/12/2019,1.42
75,01/01/2020,1.41
75,01/02/2020,1.4
75,01/03/2020,1.4
75,01/04/2020,1.38
75,01/05/2020,1.42
75,01/06/2020,1.41
75,01/07/2020,1.45
75,01/08/2020,1.6
75,01/09/2020,1.75
75,01/10/2020,1.94
75,01/11/2020,1.92
75,01/12/2020,1.86
75,01/01/2021,1.71
75,01/02/2021,1.61
75,01/03/2021,1.56
75,01/04/2021,1.49
75,01/05/2021,1.47
75,01/06/2021,1.39
75,01/07/2021,1.29
75,01/08/2021,1.23
75,01/09/2021,1.2
75,01/10/2021,1.3
75,01/11/2021,1.52
75,01/12/2021,1.56
75,01/01/2022,1.64
75,01/02/2022,1.78
75,01/03/2022,2.14
75,01/04/2022,2.36
75,01/05/2022,2.63
75,01/06/2022,2.88
75,01/07/2022,3.51
75,01/08/2022,3.64
75,01/09/2022,4.17
75,01/10/2022,6.01
90,01/06/2018,2.37
90,01/07/2018,2.3
90,01/08/2018,2.28
90,01/09/2018,2.12
90,01/10/2018,2.27
90,01/11/2018,2.28
90,01/12/2018,2.24
90,01/01/2019,2.23
90,01/02/2019,2.17
90,01/03/2019,2.17
90,01/04/2019,2.15
90,01/05/2019,2.19
90,01/06/2019,2.18
90,01/07/2019,2.15
90,01/08/2019,2.1
90,01/09/2019,2.09
90,01/10/2019,2.07
90,01/11/2019,2.08
90,01/12/2019,2.07
90,01/01/2020,2.05
90,01/02/2020,1.97
90,01/03/2020,1.94
90,01/04/2020,1.89
90,01/05/2020,1.96
90,01/06/2020,2.19
90,01/07/2020,2.5
90,01/08/2020,2.78
90,01/09/2020,3.29
90,01/10/2020,3.52
90,01/11/2020,3.72
90,01/12/2020,3.75
90,01/01/2021,3.63
90,01/02/2021,3.49
90,01/03/2021,3.38
90,01/04/2021,3.38
90,01/05/2021,3.31
90,01/06/2021,3.09
90,01/07/2021,2.79
90,01/08/2021,2.48
90,01/09/2021,2.16
90,01/10/2021,2.03
90,01/11/2021,2.02
90,01/12/2021,1.95
90,01/01/2022,1.95
90,01/02/2022,2.03
90,01/03/2022,2.38
90,01/04/2022,2.6
90,01/05/2022,2.86
90,01/06/2022,3.18
90,01/07/2022,3.67
90,01/08/2022,3.92
90,01/09/2022,4.47
90,01/10/2022,6.21
95,01/06/2018,3.95
95,01/07/2018,3.78
95,01/08/2018,3.61
95,01/09/2018,3.38
95,01/10/2018,3.33
95,01/11/2018,3.23
95,01/12/2018,3.18
95,01/01/2019,3.04
95,01/02/2019,2.99
95,01/03/2019,2.97
95,01/04/2019,2.92
95,01/05/2019,2.93
95,01/06/2019,2.95
95,01/07/2019,2.96
95,01/08/2019,2.96
95,01/09/2019,2.99
95,01/10/2019,2.99
95,01/11/2019,2.99
95,01/12/2019,3
95,01/01/2020,3.02
95,01/02/2020,3.02
95,01/03/2020,3.02
95,01/04/2020,3.07
95,01/05/2020,3.17
95,01/06/2020,2.72
95,01/07/2020,2.58
95,01/08/2020,3.78
95,01/09/2020,3.95
95,01/10/2020,4.13
95,01/11/2020,4.2
95,01/12/2020,4.2
95,01/01/2021,4.16
95,01/02/2021,4.1
95,01/03/2021,4.16
95,01/04/2021,4.01
95,01/05/2021,3.88
95,01/06/2021,3.74
95,01/07/2021,3.53
95,01/08/2021,3.43
95,01/09/2021,3.22
95,01/10/2021,2.97
95,01/11/2021,2.91
95,01/12/2021,2.77
95,01/01/2022,2.77
95,01/02/2022,2.72
95,01/03/2022,2.8
95,01/04/2022,2.95
95,01/05/2022,3.19
95,01/06/2022,3.5
95,01/07/2022,3.97
95,01/08/2022,4.15
95,01/09/2022,4.68
95,01/10/2022,6.44
