Date,Metric,value
01/06/2018,75,1.74
01/07/2018,75,1.75
01/08/2018,75,1.75
01/09/2018,75,1.71
01/10/2018,75,1.8
01/11/2018,75,1.75
01/12/2018,75,1.73
01/01/2019,75,1.72
01/02/2019,75,1.7
01/03/2019,75,1.7
01/04/2019,75,1.66
01/05/2019,75,1.65
01/06/2019,75,1.64
01/07/2019,75,1.61
01/08/2019,75,1.59
01/09/2019,75,1.55
01/10/2019,75,1.47
01/11/2019,75,1.41
01/12/2019,75,1.42
01/01/2020,75,1.41
01/02/2020,75,1.4
01/03/2020,75,1.4
01/04/2020,75,1.38
01/05/2020,75,1.42
01/06/2020,75,1.41
01/07/2020,75,1.45
01/08/2020,75,1.6
01/09/2020,75,1.75
01/10/2020,75,1.94
01/11/2020,75,1.92
01/12/2020,75,1.86
01/01/2021,75,1.71
01/02/2021,75,1.61
01/03/2021,75,1.56
01/04/2021,75,1.49
01/05/2021,75,1.47
01/06/2021,75,1.39
01/07/2021,75,1.29
01/08/2021,75,1.23
01/09/2021,75,1.2
01/10/2021,75,1.3
01/11/2021,75,1.52
01/12/2021,75,1.56
01/01/2022,75,1.64
01/02/2022,75,1.78
01/03/2022,75,2.14
01/04/2022,75,2.36
01/05/2022,75,2.63
01/06/2022,75,2.88
01/07/2022,75,3.51
01/08/2022,75,3.64
01/09/2022,75,4.17
01/10/2022,75,6.01
01/06/2018,90,2.37
01/07/2018,90,2.3
01/08/2018,90,2.28
01/09/2018,90,2.12
01/10/2018,90,2.27
01/11/2018,90,2.28
01/12/2018,90,2.24
01/01/2019,90,2.23
01/02/2019,90,2.17
01/03/2019,90,2.17
01/04/2019,90,2.15
01/05/2019,90,2.19
01/06/2019,90,2.18
01/07/2019,90,2.15
01/08/2019,90,2.1
01/09/2019,90,2.09
01/10/2019,90,2.07
01/11/2019,90,2.08
01/12/2019,90,2.07
01/01/2020,90,2.05
01/02/2020,90,1.97
01/03/2020,90,1.94
01/04/2020,90,1.89
01/05/2020,90,1.96
01/06/2020,90,2.19
01/07/2020,90,2.5
01/08/2020,90,2.78
01/09/2020,90,3.29
01/10/2020,90,3.52
01/11/2020,90,3.72
01/12/2020,90,3.75
01/01/2021,90,3.63
01/02/2021,90,3.49
01/03/2021,90,3.38
01/04/2021,90,3.38
01/05/2021,90,3.31
01/06/2021,90,3.09
01/07/2021,90,2.79
01/08/2021,90,2.48
01/09/2021,90,2.16
01/10/2021,90,2.03
01/11/2021,90,2.02
01/12/2021,90,1.95
01/01/2022,90,1.95
01/02/2022,90,2.03
01/03/2022,90,2.38
01/04/2022,90,2.6
01/05/2022,90,2.86
01/06/2022,90,3.18
01/07/2022,90,3.67
01/08/2022,90,3.92
01/09/2022,90,4.47
01/10/2022,90,6.21
01/06/2018,95,3.95
01/07/2018,95,3.78
01/08/2018,95,3.61
01/09/2018,95,3.38
01/10/2018,95,3.33
01/11/2018,95,3.23
01/12/2018,95,3.18
01/01/2019,95,3.04
01/02/2019,95,2.99
01/03/2019,95,2.97
01/04/2019,95,2.92
01/05/2019,95,2.93
01/06/2019,95,2.95
01/07/2019,95,2.96
01/08/2019,95,2.96
01/09/2019,95,2.99
01/10/2019,95,2.99
01/11/2019,95,2.99
01/12/2019,95,3
01/01/2020,95,3.02
01/02/2020,95,3.02
01/03/2020,95,3.02
01/04/2020,95,3.07
01/05/2020,95,3.17
01/06/2020,95,2.72
01/07/2020,95,2.58
01/08/2020,95,3.78
01/09/2020,95,3.95
01/10/2020,95,4.13
01/11/2020,95,4.2
01/12/2020,95,4.2
01/01/2021,95,4.16
01/02/2021,95,4.1
01/03/2021,95,4.16
01/04/2021,95,4.01
01/05/2021,95,3.88
01/06/2021,95,3.74
01/07/2021,95,3.53
01/08/2021,95,3.43
01/09/2021,95,3.22
01/10/2021,95,2.97
01/11/2021,95,2.91
01/12/2021,95,2.77
01/01/2022,95,2.77
01/02/2022,95,2.72
01/03/2022,95,2.8
01/04/2022,95,2.95
01/05/2022,95,3.19
01/06/2022,95,3.5
01/07/2022,95,3.97
01/08/2022,95,4.15
01/09/2022,95,4.68
01/10/2022,95,6.44
