Date,75_LTV,90_LTV,95_LTV
Jun 18,1.74,2.37,3.95
Jul 18,1.75,2.30,3.78
Aug 18,1.75,2.28,3.61
Sep 18,1.71,2.12,3.38
Oct 18,1.80,2.27,3.33
Nov 18,1.75,2.28,3.23
Dec 18,1.73,2.24,3.18
Jan 19,1.72,2.23,3.04
Feb 19,1.70,2.17,2.99
Mar 19,1.70,2.17,2.97
Apr 19,1.66,2.15,2.92
May 19,1.65,2.19,2.93
Jun 19,1.64,2.18,2.95
Jul 19,1.61,2.15,2.96
Aug 19,1.59,2.10,2.96
Sep 19,1.55,2.09,2.99
Oct 19,1.47,2.07,2.99
Nov 19,1.41,2.08,2.99
Dec 19,1.42,2.07,3.00
Jan 20,1.41,2.05,3.02
Feb 20,1.40,1.97,3.02
Mar 20,1.40,1.94,3.02
Apr 20,1.38,1.89,3.07
May 20,1.42,1.96,3.17
Jun 20,1.41,2.19,2.72
Jul 20,1.45,2.50,2.58
Aug 20,1.60,2.78,3.78
Sep 20,1.75,3.29,3.95
Oct 20,1.94,3.52,4.13
Nov 20,1.92,3.72,4.20
Dec 20,1.86,3.75,4.20
Jan 21,1.71,3.63,4.16
Feb 21,1.61,3.49,4.10
Mar 21,1.56,3.38,4.16
Apr 21,1.49,3.38,4.01
May 21,1.47,3.31,3.88
June 21,1.39,3.09,3.74
July 21,1.29,2.79,3.53
August 21,1.23,2.48,3.43
September 21,1.20,2.16,3.22
October 21,1.30,2.03,2.97
November 21,1.52,2.02,2.91
December 21,1.56,1.95,2.77
January 22,1.64,1.95,2.77
February 22,1.78,2.03,2.72
March 22,2.14,2.38,2.80
April 22,2.36,2.60,2.95
May 22,2.63,2.86,3.19
June 22,2.88,3.18,3.50
July 22,3.51,3.67,3.97
August 22,3.64,3.92,4.15
September 22,4.17,4.47,4.68
October 22,6.01,6.21,6.44
